ncm,nves,nves_nm,pais_origem,fob_kg_minimo_dolar_truncado,fob_kg_maximo_dolar_truncado,fob_kg_media_dolar_truncado,fob_kg_mediana_dolar_truncado,fob_kg_desvio_padrao_dolar_truncado,fob_kg_quartil1_truncado,fob_kg_quartil3_truncado,fob_ume_minimo_dolar_truncado,fob_ume_maximo_dolar_truncado,fob_ume_media_dolar_truncado,fob_ume_mediana_dolar_truncado,fob_ume_desvio_padrao_dolar_truncado,fob_ume_quartil1_truncado,fob_ume_quartil3_truncado,vmle_soma_dolar_truncado,peso_liq_soma_truncado,qtd_ume_soma_truncado,frete_minimo_dolar_truncado,frete_media_dolar_truncado,frete_mediana_dolar_truncado,frete_maximo_dolar_truncado,frete_desvio_padrao_dolar_truncado,seguro_minimo_dolar_truncado,seguro_media_dolar_truncado,seguro_mediana_dolar_truncado,seguro_maximo_dolar_truncado,seguro_desvio_padrao_dolar_truncado,ume,ncm_str
5040013,S/NVE,S/NVE,ALEMANHA,6.54,9.22,7.55,7.43,0.976,6.77,8.38,6.54,9.22,7.55,7.43,0.976,6.77,8.38,1900000.0,253000.0,253000.0,291.0,738.0,615.0,1280.0,411.0,0.0,190.0,26.4,1820.0,544.0,Quilograma,05040013
5040013,S/NVE,S/NVE,"CHINA, REPUBLICA POPULAR",4.57,11.0,8.73,8.98,1.72,7.35,10.2,4.57,11.0,8.73,8.98,1.72,7.35,10.2,5480000.0,624000.0,624000.0,183.0,1820.0,1800.0,2870.0,565.0,0.0,165.0,25.9,2140.0,522.0,Quilograma,05040013
5040013,S/NVE,S/NVE,PAISES BAIXOS (HOLANDA),5.28,8.83,7.32,7.43,1.08,6.83,7.75,5.28,8.83,7.32,7.43,1.08,6.83,7.75,1360000.0,186000.0,186000.0,356.0,673.0,439.0,2000.0,570.0,0.0,1330.0,2100.0,2110.0,1060.0,Quilograma,05040013
5040013,S/NVE,S/NVE,PARAGUAI,1.57,9.92,7.07,9.71,4.25,3.57,9.91,1.57,9.92,7.07,9.71,4.25,3.57,9.91,950000.0,118000.0,118000.0,175.0,540.0,674.0,700.0,228.0,28.2,349.0,420.0,586.0,250.0,Quilograma,05040013
5111000,S/NVE,S/NVE,ESTADOS UNIDOS,2430.0,176000.0,18800.0,7260.0,45400.0,4220.0,9400.0,2.43,176000.0,12600.0,7.26,47200.0,4.22,9.4,1730000.0,225.0,225000.0,0.0,4740.0,3220.0,17300.0,4690.0,0.0,384.0,0.0,2030.0,659.0,Grama,05111000
6011000,S/NVE,S/NVE,PAISES BAIXOS (HOLANDA),2.94,6.9,4.59,4.34,1.33,3.54,5.57,0.146,0.375,0.231,0.2,0.0887,0.179,0.253,743000.0,158000.0,3660000.0,1210.0,1800.0,1550.0,2970.0,716.0,0.0,405.0,0.0,1630.0,750.0,Unidade,06011000
6029021,S/NVE,S/NVE,FORMOSA (TAIWAN),16.0,96.5,68.4,80.5,36.2,58.6,90.2,0.747,2.12,1.1,0.773,0.681,0.76,1.11,218000.0,9710.0,165000.0,2220.0,4260.0,4220.0,6400.0,1710.0,0.0,0.0,0.0,0.0,0.0,Unidade,06029021
6029021,S/NVE,S/NVE,"MACEDONIA, ANT.REP.IUGOSLAVA",88.2,205.0,136.0,113.0,52.4,92.8,188.0,0.733,0.796,0.771,0.778,0.0268,0.747,0.795,238000.0,2320.0,309000.0,220.0,2030.0,881.0,8710.0,2800.0,0.0,12.1,0.0,97.2,34.3,Unidade,06029021
6029021,S/NVE,S/NVE,PAISES BAIXOS (HOLANDA),31.1,323.0,72.4,40.8,73.6,32.7,84.0,0.614,1.5,1.15,1.4,0.366,0.781,1.49,860000.0,22800.0,673000.0,1.52,838.0,427.0,4060.0,1160.0,0.0,163.0,2.25,789.0,275.0,Unidade,06029021
6029029,S/NVE,S/NVE,PAISES BAIXOS (HOLANDA),22.5,320.0,100.0,57.0,102.0,44.8,77.9,0.176,1.8,0.712,0.62,0.542,0.271,0.933,122000.0,2080.0,353000.0,333.0,1460.0,570.0,5580.0,1740.0,0.0,46.0,0.0,451.0,142.0,Unidade,06029029
6031100,S/NVE,S/NVE,COLOMBIA,3.54,8.47,5.69,5.49,1.05,4.96,6.08,3.29,6.56,4.4,4.51,0.716,3.8,4.91,206000.0,36300.0,46700.0,38.9,981.0,791.0,2700.0,611.0,0.0,0.0,0.0,0.0,0.0,Duzia,06031100
6031100,S/NVE,S/NVE,EQUADOR,3.73,9.11,5.76,5.77,1.22,4.76,6.51,2.43,7.26,4.68,4.56,0.984,3.98,5.4,128000.0,22800.0,30000.0,99.2,668.0,559.0,2560.0,469.0,0.0,0.0,0.0,0.0,0.0,Duzia,06031100
6031900,S/NVE,S/NVE,COLOMBIA,2.73,7.4,5.43,5.84,1.81,4.41,6.61,1.44,10.3,6.6,7.45,3.63,4.5,8.98,7440.0,1320.0,1420.0,48.7,611.0,584.0,1060.0,392.0,0.0,0.0,0.0,0.0,0.0,Duzia,06031900
7032090,",",", ",ARGENTINA,0.458,1.95,1.31,1.19,0.568,1.02,1.91,0.458,1.95,1.31,1.19,0.568,1.02,1.91,322000.0,246000.0,246000.0,1200.0,1840.0,1900.0,2800.0,450.0,0.0,49.7,0.0,165.0,80.1,Quilograma,07032090
7032090,S/NVE,S/NVE,ARGENTINA,0.5,2.4,1.24,1.18,0.441,0.9,1.55,0.5,2.4,1.24,1.18,0.441,0.9,1.55,16000000.0,12900000.0,12900000.0,700.0,1980.0,1900.0,5000.0,613.0,0.0,46.4,0.0,204.0,60.9,Quilograma,07032090
7032090,S/NVE,S/NVE,"CHINA, REPUBLICA POPULAR",1.18,1.74,1.44,1.38,0.161,1.35,1.62,1.18,1.74,1.44,1.38,0.161,1.35,1.62,1070000.0,724000.0,724000.0,149.0,2600.0,2050.0,6960.0,1490.0,30.0,83.1,100.0,100.0,24.6,Quilograma,07032090
7092000,S/NVE,S/NVE,PERU,2.94,5.53,4.56,4.66,0.651,4.35,4.96,2.94,5.53,4.56,4.66,0.651,4.35,4.96,253000.0,60000.0,60000.0,952.0,2540.0,2310.0,6580.0,1300.0,0.0,5.77,0.0,162.0,29.5,Quilograma,07092000
